level_1,level_2,level_3,level_4,level_5,radius_mm
deformable,record_250_empty_4,sample_0018,,,23.9
deformable,record_250_empty_4,sample_0019,,,23.5
deformable,record_250_empty_4,sample_0020,,,24.0
deformable,record_250_empty_4,sample_0021,,,24.4
deformable,record_250_empty_4,sample_0022,,,21.8
deformable,record_250_empty_4,sample_0023,,,22.4
deformable,record_250_empty_4,sample_0024,,,23.6
deformable,record_250_empty_4,sample_0025,,,22.1
deformable,record_250_empty_4,sample_0026,,,21.9
deformable,record_250_empty_4,sample_0027,,,22.7
deformable,record_250_empty_4,sample_0028,,,22.5
deformable,record_250_empty_4,sample_0029,,,21.7
deformable,record_250_empty_4,sample_0030,,,22.6
deformable,record_250_empty_4,sample_0031,,,21.6
deformable,record_250_empty_5,sample_0000,,,22.5
deformable,record_250_empty_5,sample_0001,,,22.9
deformable,record_250_empty_5,sample_0002,,,23.0
deformable,record_250_empty_5,sample_0003,,,23.3
deformable,record_250_empty_5,sample_0004,,,23.1
deformable,record_250_empty_5,sample_0005,,,22.7
deformable,record_250_empty_5,sample_0006,,,23.3
deformable,record_250_empty_5,sample_0007,,,22.5
deformable,record_250_empty_5,sample_0008,,,21.3
deformable,record_250_empty_5,sample_0009,,,19.9
deformable,record_250_empty_5,sample_0010,,,22.8
deformable,record_250_empty_5,sample_0011,,,23.1
deformable,record_250_empty_5,sample_0012,,,21.8
deformable,record_250_empty_5,sample_0013,,,22.2
deformable,record_250_empty_5,sample_0014,,,20.2
deformable,record_250_empty_5,sample_0015,,,22.7
deformable,record_250_empty_5,sample_0016,,,20.5
deformable,record_250_empty_5,sample_0017,,,22.5
deformable,record_250_empty_5,sample_0018,,,21.3
deformable,record_250_empty_5,sample_0019,,,22.3
deformable,record_250_empty_5,sample_0020,,,22.2
deformable,record_250_empty_5,sample_0021,,,20.4
deformable,record_250_empty_5,sample_0022,,,21.3
deformable,record_250_empty_5,sample_0023,,,20.7
deformable,record_250_empty_5,sample_0024,,,21.4
deformable,record_250_empty_5,sample_0025,,,20.4
deformable,record_250_empty_6,sample_0000,,,19.9
deformable,record_250_empty_6,sample_0001,,,19.3
deformable,record_250_empty_6,sample_0002,,,21.2
deformable,record_250_empty_6,sample_0003,,,21.8
deformable,record_250_empty_6,sample_0004,,,20.4
deformable,record_250_empty_6,sample_0005,,,20.6
deformable,record_250_empty_6,sample_0006,,,22.1
deformable,record_250_empty_6,sample_0007,,,20.8
deformable,record_250_empty_6,sample_0008,,,21.9
deformable,record_250_empty_6,sample_0009,,,21.2
deformable,record_250_empty_6,sample_0010,,,21.0
deformable,record_250_empty_6,sample_0011,,,19.7
deformable,record_250_empty_6,sample_0012,,,20.3
deformable,record_250_empty_6,sample_0013,,,19.7
deformable,record_250_empty_6,sample_0014,,,20.3
deformable,record_250_empty_6,sample_0015,,,19.4
deformable,record_250_empty_6,sample_0016,,,18.4
deformable,record_250_empty_6,sample_0017,,,19.8
deformable,record_250_empty_6,sample_0018,,,18.6
deformable,record_250_empty_6,sample_0019,,,21.8
deformable,record_250_empty_6,sample_0020,,,19.8
deformable,record_250_empty_6,sample_0021,,,19.8
deformable,record_250_empty_6,sample_0022,,,18.8
deformable,record_250_empty_6,sample_0023,,,21.4
deformable,record_250_empty_6,sample_0024,,,19.5
deformable,record_250_empty_6,sample_0025,,,20.3
deformable,record_250_empty_6,sample_0026,,,19.7
deformable,record_250_empty_6,sample_0027,,,20.2
deformable,record_250_empty_6,sample_0028,,,21.1
deformable,record_250_empty_6,sample_0029,,,20.0
